,0,1,2,3,4,5,6
0,1,214281871,2,1681348374.5996,1681348412.0998,0.5296,0
1,2,214326515,2,1681348405.5997,1681348424.0997,-1.6603,0
2,3,214345864,2,1681348413.0997,1681348423.0997,2.2923,0
3,4,214315373,2,1681348387.5996,1681348390.0996,-0.7795,0
4,5,229366612,3,1681355059.5997,1681355065.0996,2.7841,0
5,6,229232537,2,1681354946.0997,1681354991.0998,1.0993,0
6,7,229316736,2,1681354953.0997,1681354972.0997,2.9844,0
7,8,229213332,2,1681354907.5998,1681354928.0996,-2.2031,108
8,9,229300662,2,1681354945.0996,1681354974.5996,2.322,0
9,10,229520778,2,1681355041.5996,1681355125.5999,-0.3399,0
10,11,229155727,2,1681354886.5997,1681354919.0998,-1.9295,0
11,12,229482174,2,1681355026.0997,1681355047.5998,-1.6112,0
12,13,229488295,2,1681355034.0997,1681355044.5997,-1.2125,0
13,14,229568163,3,1681355067.0996,1681355097.0996,-1.7917,0
14,15,229207253,3,1681354911.5997,1681354929.0997,-2.8536,0
15,16,229508704,3,1681355059.5997,1681355075.5997,-2.876,0
16,17,229247627,2,1681354945.5996,1681354947.5997,2.5592,0
17,18,231982053,2,1681356132.0997,1681356156.0996,2.6585,0
18,19,232140903,2,1681356198.0999,1681356216.5999,-1.7145,0
19,20,232003131,2,1681356151.0997,1681356170.0997,1.7021,0
20,21,231859135,3,1681356080.0997,1681356149.5997,1.1956,0
21,22,231932847,2,1681356106.0996,1681356168.5999,-1.161,0
22,23,232020582,2,1681356192.0997,1681356196.5998,1.3729,0
23,24,231941545,2,1681356111.0998,1681356170.0999,0.173,0
24,25,232003887,3,1681356135.5998,1681356165.5997,-3.1029,0
25,26,232045234,2,1681356155.0997,1681356262.0997,-1.5113,0
26,27,231979942,2,1681356126.0997,1681356146.5998,2.373,0
27,28,231842824,2,1681356076.5998,1681356119.0996,-0.0442,0
28,29,231861166,3,1681356079.5997,1681356147.0997,1.3439,0
29,30,231818915,2,1681356066.5998,1681356082.5997,2.8,0
30,31,231771305,3,1681356047.0996,1681356057.0997,0.7806,0
31,32,231938914,3,1681356135.0996,1681356155.0999,1.1126,0
32,33,232131502,3,1681356214.0996,1681356219.0997,2.1096,0
33,34,231895793,2,1681356110.5998,1681356115.5998,1.2599,0
34,35,232126476,2,1681356190.5999,1681356231.5998,-1.5489,0
35,36,232123695,2,1681356183.0998,1681356198.0998,1.2982,0
36,37,231655179,3,1681356047.5997,1681356058.0998,2.9472,0
37,38,232154845,2,1681356209.0996,1681356252.0996,1.0527,0
38,39,234268926,3,1681357053.0996,1681357064.5997,2.7177,0
39,40,234173726,2,1681357012.0996,1681357077.0000,1.9137,0
40,41,234335402,3,1681357071.0997,1681357139.0998,0.1281,0
41,42,234384802,2,1681357109.0998,1681357119.5998,0.1352,0
42,43,234205046,2,1681357045.5994,1681357089.0999,1.2124,0
43,44,234167274,2,1681357004.0996,1681357029.5996,2.7478,0
44,45,234153745,3,1681357021.1000,1681357089.0996,-1.9804,0
45,46,234232466,2,1681357054.5997,1681357097.5999,1.6666,0
46,47,234199015,2,1681357038.0997,1681357095.0997,1.6756,0
47,48,234311395,2,1681357061.5996,1681357066.5996,-2.1629,0
48,49,234425533,2,1681357119.5998,1681357144.5998,1.1979,0
49,50,234231512,3,1681357036.0000,1681357055.5996,1.6434,0
50,51,234340458,3,1681357084.5997,1681357096.0997,1.275,0
51,52,234200744,3,1681357016.0999,1681357070.0998,2.3273,0
52,53,234265264,2,1681357051.5997,1681357060.0997,-0.7396,0
53,54,234163991,2,1681357001.5996,1681357016.0996,2.9102,0
54,55,235589235,2,1681357607.5997,1681357724.5998,1.1871,0
55,56,235463470,3,1681357558.5996,1681357648.5997,1.1321,0
56,57,235472113,2,1681357605.5997,1681357653.0996,0.9259,0
57,58,235530214,2,1681357621.5997,1681357642.0996,1.0214,0
58,59,235558872,2,1681357591.0999,1681357632.0999,-2.2409,0
59,60,235716963,2,1681357662.0998,1681357677.0998,-0.1161,0
60,61,235712819,3,1681357653.5997,1681357679.5998,-2.1306,0
61,62,235550092,3,1681357586.5999,1681357613.6000,1.3138,0
62,63,235826566,2,1681357703.5997,1681357747.5998,-1.0865,0
63,64,235643319,3,1681357630.5999,1681357662.5997,-0.3293,0
64,65,235487725,3,1681357566.5999,1681357575.5999,1.1922,0
65,66,235463861,2,1681357550.5000,1681357589.5998,-1.0213,0
66,67,235651977,2,1681357630.5999,1681357674.0998,-2.8515,0
67,68,235840628,3,1681357739.0998,1681357752.0999,-2.9696,0
68,69,235854987,3,1681357721.0998,1681357731.0997,2.4803,0
69,70,235870689,2,1681357726.0998,1681357736.5998,-0.5278,78
70,71,235645947,2,1681357625.6000,1681357643.5997,2.292,0
71,72,251079316,2,1681363969.0997,1681363980.5996,2.8555,0
72,73,251124233,3,1681364002.0996,1681364008.0996,-0.4641,0
73,74,250991341,3,1681363924.0996,1681363975.0996,2.7982,0
74,75,251236394,2,1681364041.0996,1681364320.5997,3.1192,0
75,76,250960391,2,1681363926.5996,1681363946.0998,-0.1933,0
76,77,250960391,2,1681363963.0998,1681364014.0997,-0.7503,0
77,78,250995803,3,1681363933.0996,1681363969.0996,-1.5452,0
78,79,251282583,2,1681364081.0996,1681364084.5997,0.1768,0
79,80,251182266,2,1681364022.0997,1681364045.5996,0.8019,0
80,81,251045956,2,1681363952.5998,1681363978.0995,2.9961,0
81,82,251340267,2,1681364089.5996,1681364168.5996,-2.9912,0
82,83,251349472,3,1681364096.0996,1681364129.0996,-2.3916,0
83,84,251378549,2,1681364170.0999,1681364172.0997,1.1777,108
84,85,251607042,3,1681364223.0998,1681364281.0999,-2.3453,0
85,86,251384645,2,1681364112.0996,1681364143.0997,-0.5349,0
86,87,251974074,2,1681364415.0997,1681364463.0996,2.3781,0
87,88,252251558,2,1681364491.5997,1681364521.5998,1.5601,0
88,89,252223585,2,1681364486.0997,1681364528.0997,-2.0214,0
89,90,252196312,2,1681364471.5998,1681364509.5998,1.4619,0
90,91,252367267,2,1681364548.0998,1681364561.5998,-0.8163,0
91,92,252414679,2,1681364570.0998,1681364610.0998,1.8094,0
92,93,252392533,2,1681364556.5999,1681364579.5998,-1.2302,0
93,94,252286841,3,1681364514.0998,1681364597.5998,0.0875,0
94,95,251994621,3,1681364388.0999,1681364435.0998,-0.5711,0
95,96,252332851,2,1681364530.0998,1681364565.5998,1.6417,0
96,97,252571071,3,1681364661.0997,1681364715.5999,2.2445,0
97,98,252533048,2,1681364638.5999,1681364669.5999,-0.4944,0
98,99,252810426,2,1681364753.0999,1681364768.5998,-2.3464,0
99,100,252464990,2,1681364606.0998,1681364705.5996,1.3185,0
100,101,252706966,2,1681364709.0998,1681364724.0999,0.7671,0
101,102,252505421,2,1681364624.5997,1681364642.5998,1.7404,0
102,103,252828630,3,1681364755.5998,1681364812.5998,0.8964,0
103,104,252579000,2,1681364653.0999,1681364664.5997,-0.5723,0
104,105,252765091,2,1681364725.0998,1681364764.5998,2.7623,0
105,106,252583697,3,1681364644.5998,1681364661.5999,0.3969,0
106,107,266136936,2,1681370527.5998,1681370536.0998,0.6065,0
107,108,266150303,3,1681370540.5997,1681370572.0996,-2.9523,0
108,109,266063172,3,1681370503.5997,1681370505.5997,-0.9105,0
109,110,266063172,3,1681370520.0996,1681370548.5996,-0.9105,0
110,111,266126501,3,1681370521.0999,1681370524.5998,1.0468,0
111,112,266317234,2,1681370596.0997,1681370605.5997,-2.5187,0
112,113,266113602,2,1681370527.5997,1681370533.0997,0.8868,0
113,114,266009093,2,1681370471.6000,1681370492.0998,-2.0251,0
114,115,266117474,3,1681370516.0997,1681370520.0996,2.524,0
115,116,266236162,2,1681370560.0997,1681370585.5997,2.5736,0
116,117,266239717,2,1681370561.0997,1681370566.0997,-0.2928,0
117,118,265927771,3,1681370446.5997,1681370453.0996,3.0571,0
118,119,266714160,3,1681370768.0997,1681370809.0998,0.6015,0
119,120,266996509,2,1681370892.5998,1681370951.0997,-0.3619,0
120,121,267115261,3,1681370938.5997,1681370971.0997,0.5947,0
121,122,266604838,2,1681370722.5997,1681370771.0997,-0.5999,0
122,123,267127324,2,1681370935.0996,1681371039.5997,-0.3793,0
123,124,267127324,2,1681371062.5998,1681371093.0996,-0.3793,0
124,125,266850297,3,1681370825.0997,1681370833.5997,1.8863,0
125,126,266814291,2,1681370807.0996,1681370817.0997,0.0795,0
126,127,267106118,2,1681370927.0999,1681371010.5999,1.3462,0
127,128,266668164,2,1681370749.5997,1681370780.5997,2.9164,0
128,129,266856429,2,1681370825.5998,1681370845.0997,-1.6572,108
129,130,268543517,3,1681371511.5997,1681371543.0996,2.5794,0
130,131,268778599,3,1681371591.0996,1681371615.5996,2.5548,0
131,132,268702061,3,1681371560.0995,1681371602.0996,1.4055,0
132,133,268479608,3,1681371477.5996,1681371563.0998,2.6333,0
133,134,268795587,2,1681371607.5998,1681371617.0998,2.8287,0
134,135,268502712,3,1681371492.0998,1681371510.0996,-0.5893,0
135,136,268369365,2,1681371427.5996,1681371496.5997,0.5629,0
136,137,268815211,2,1681371609.5998,1681371623.0998,0.2976,0
137,138,268680294,3,1681371557.5997,1681371577.0996,-0.5434,0
138,139,268318482,2,1681371444.0995,1681371467.5997,2.3125,0
139,140,268876461,3,1681371649.0996,1681371670.0996,-1.1843,0
