,0,1,2,3,4,5,6,7
0,8684,194157774,1,1681340434.5997,1681340436.0997,19.258,11.4607,38
1,8685,194051999,1,1681340538.0996,1681340541.0996,0.163378,8.18945,19
2,8686,194058717,1,1681340551.0996,1681340552.5996,8.65813,4.39373,19
3,8687,194261995,1,1681340411.0997,1681340413.0996,16.5427,12.3204,34
4,8688,193885053,6,1681340520.5997,1681340522.5996,1.30442,6.28847,31
5,8689,194081180,1,1681340437.5996,1681340441.0996,9.59133,8.31557,19
6,8690,194078076,1,1681340466.5997,1681340468.0000,12.3961,8.26079,43
7,8691,194090558,1,1681340414.0999,1681340416.5998,0.279704,6.90102,43
8,8692,194090558,1,1681340456.0996,1681340458.0996,0.617219,5.88841,43
9,8693,194038444,1,1681340418.5998,1681340420.5998,1.4601,6.76498,43
10,8694,194271091,1,1681340445.5997,1681340447.0997,9.58975,4.80577,43
11,8695,194131428,6,1681340651.5995,1681340653.5997,0.875917,5.86492,25
12,8696,194054765,1,1681340603.5995,1681340607.5996,0.517914,11.2555,25
13,8697,194313552,1,1681340441.5996,1681340443.5998,10.5077,4.97098,41
14,8698,194320562,1,1681340441.0998,1681340444.0998,12.4868,6.61587,41
15,8699,194320562,1,1681340444.0998,1681340469.0121,6.61587,0.102657,41
16,8700,194320562,1,1681340601.5997,1681340603.0997,11.0343,6.09963,41
17,8701,194328171,1,1681340445.0998,1681340448.0998,9.60941,1.5685,41
18,8702,194327469,1,1681340449.0997,1681340451.0998,12.1456,5.62775,41
19,8703,194370232,1,1681340465.5998,1681340468.0998,22.7282,16.3989,26
20,8704,194288540,1,1681340501.5997,1681340503.0997,10.3615,5.83001,22
21,8705,194370850,1,1681340471.5998,1681340473.0997,10.5733,6.02446,27
22,8706,194388805,1,1681340512.0119,1681340516.0997,0.1024,11.4563,41
23,8707,194398726,1,1681340725.5996,1681340727.0997,8.77791,4.51137,27
24,8708,194367891,1,1681340578.5997,1681340581.0996,0.322133,6.68472,22
25,8709,194449709,1,1681340914.0997,1681340916.5997,0.425898,7.03747,40
26,8710,194335363,1,1681340512.5997,1681340514.5996,6.43388,1.22635,41
27,8711,194499322,1,1681340530.0997,1681340532.5997,12.1958,5.63595,36
28,8712,194518519,1,1681340540.5997,1681340542.0995,10.4856,4.98294,42
29,8713,194424266,6,1681341225.5998,1681341229.0996,1.33589,4.76547,27
30,8714,194424266,6,1681341228.5997,1681341232.0000,10.9093,2.04361,27
31,8715,194497548,1,1681340630.5997,1681340632.5996,7.74184,2.25592,12
32,8716,194498893,1,1681340566.5996,1681340649.5997,10.1438,0.324206,28
