,0,1,2,3,4,5,6,7
0,1,194229184,1,1681340401599818,1681340401599818,7.73951,0,1
1,2,193863901,1,1681340402599818,1681340402599818,7.60279,57,0
2,3,194170459,1,1681340403099617,1681340403599632,5.65015,0,1
3,4,194225731,3,1681340404599818,1681340404599818,5.73803,0,1
4,5,194231336,1,1681340406099613,1681340406099613,6.99524,0,1
5,6,193854616,1,1681340413099617,1681340415599642,10.6943,0,1
6,7,193885053,6,1681340413599749,1681340524099630,7.31229,0,1
7,8,194248534,1,1681340414099613,1681340490599706,5.36725,0,1
8,9,194213298,1,1681340414599803,1681340434599682,9.58726,57,0
9,10,194261995,1,1681340415099631,1681340417099661,12.9986,0,1
10,11,194251400,1,1681340416599734,1681340416599734,8.20028,0,1
11,12,194019649,1,1681340417599671,1681340421599617,7.59351,0,1
12,13,194157774,1,1681340418599715,1681340418599715,8.68575,0,1
13,14,190697226,4,1681340418599751,1681340469500008,8.3561,0,1
14,15,194234940,1,1681340419099784,1681340419599792,7.97189,57,0
15,16,194077068,1,1681340423599761,1681340425099679,5.20921,0,1
16,17,194276967,1,1681340426599637,1681340428099630,8.14939,0,1
17,18,194267950,3,1681340429099791,1681340429099791,7.36483,0,1
18,19,194290674,1,1681340431599624,1681340434599625,9.06588,0,1
19,20,194045056,1,1681340433099626,1681340435099628,14.6886,0,1
20,21,194131428,6,1681340434599704,1681340654599748,7.64002,0,1
21,22,194221550,1,1681340441099631,1681340441099631,5.8709,0,1
22,23,194238531,3,1681340441099631,1681340446099628,7.39569,0,1
23,24,194232610,1,1681340443599628,1681340444099628,6.582,0,1
24,25,194254885,1,1681340446099628,1681340446099628,7.06002,0,1
25,26,194272521,1,1681340448099626,1681340448099626,7.30583,0,1
26,27,194221327,1,1681340448599655,1681340449099644,6.83896,0,1
27,28,194038444,1,1681340453500011,1681340455599643,6.73387,0,1
28,29,194061250,1,1681340456599478,1681340457099611,6.95767,0,1
29,30,194344008,3,1681340457599721,1681340457599721,3.15339,0,1
30,31,194068856,1,1681340459599617,1681340459599617,7.05054,0,1
31,32,194350571,3,1681340461599627,1681340461599627,5.88491,0,1
32,33,194080175,1,1681340463599620,1681340464099619,6.9929,0,1
33,34,194214659,1,1681340464599612,1681340464599612,6.77708,0,1
34,35,194323008,1,1681340465099604,1681340595599679,7.52056,0,1
35,36,194081611,1,1681340466099596,1681340466599602,6.89358,0,1
36,37,194284086,3,1681340468000007,1681340471599647,12.5564,0,1
37,38,194139160,1,1681340468099740,1681340469099740,7.02052,0,1
38,39,194295582,6,1681340470500009,1681340483599621,4.97377,0,1
39,40,194365429,3,1681340471099622,1681340480099605,4.7184,0,1
40,41,194177896,1,1681340471099669,1681340472099670,6.4821,0,1
41,42,194382789,3,1681340473599539,1681340481599657,3.67993,0,1
42,43,194345134,1,1681340480099637,1681340483099650,10.759,57,0
43,44,194390735,1,1681340482599646,1681340565599625,8.2412,57,0
44,45,194366051,1,1681340490099635,1681340495099581,9.91278,57,0
45,46,194373954,6,1681340494099637,1681340494099637,3.48671,0,1
46,47,194403563,3,1681340498099625,1681340507099685,5.05975,0,1
47,48,194295372,3,1681340499599639,1681340507599673,5.48733,0,1
48,49,194358824,1,1681340500099634,1681340502099597,5.62905,0,1
49,50,194088819,1,1681340500599627,1681340501099618,4.43297,0,1
50,51,194449709,1,1681340507599712,1681340681099779,8.55285,0,1
51,52,194336004,1,1681340509599660,1681340510099644,6.15815,0,1
52,53,194326748,3,1681340511099705,1681340511099705,4.88423,0,1
